Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPTY_CUSTOM_SONG_LIST_INFO,,You don't have any custom songs.,Vous n'avez aucun morceau personnalisé.,No tienes ninguna canción personalizada.,Du hast keine benutzerdefinierten Songs.,Non hai ancora brani personalizzati.,Você não tem músicas personalizadas.,,У вас нет пользовательских песен.,,,,,Du har inga custom låtar.,Je hebt geen aangepaste nummers.,,,カスタム曲はありません。,您还没有任何的自定义歌曲,您沒有任何自定義歌曲,커스텀 곡이 없습니다.,,Nincsenek egyedi zenéid.,,,,אין לכם שירים חיצוניים.,,,,
MENU_CONTROLLERS_TRANSFORM,,Controllers,Manettes,Controles,Controller,Controllers,Controles,,Контроллеры,,,,,Kontroller,Controllers,,,コントローラー,手柄,控制器,컨트롤러,,Játékvezérlők,,,,שלטים,,,,
BUTTON_RESET,,Reset,Réinitialiser,Reiniciar,Zurücksetzen,Ripristina,Redefinir,,Сброс,,,,,Återställ,Herstellen,,,リセット,重置,重置,초기화,,Visszaáll.,Resetare,,,איפוס,,,,
TITLE_POSITION_X,,Position X,Position X,Posición X,Position X,Posizione X,Posição X,,Позиция X,,,,,Position X,X-positie,,,X位置,X轴位置,X 軸位置,X 위치,,X pozíció,,,,מיקום X,,,,
TITLE_POSITION_Y,,Position Y,Position Y,Posición Y,Position Y,Posizione Y,Posição Y,,Позиция Y,,,,,Position Y,Y-positie,,,Y位置,Y轴位置,Y 軸位置,Y 위치,,Y pozíció,,,,מיקום Y,,,,
TITLE_POSITION_Z,,Position Z,Position Z,Posición Z,Position Z,Posizione Z,Posição Z,,Позиция Z,,,,,Position Z,Z-positie,,,Z位置,Z轴位置,Z 軸位置,Y 위치,,Z pozíció,,,,מיקום Z,,,,
TITLE_ROTATION_X,,Rotation X,Rotation X,Rotación X,Rotation X,Rotazione X,Rotação X,,Вращение X,,,,,Rotation X,X-rotatie,,,X回転,X轴旋转,X 軸旋轉,X 회전,,X tengely,,,,סיבוב X,,,,
TITLE_ROTATION_Y,,Rotation Y,Rotation Y,Rotación Y,Rotation Y,Rotazione Y,Rotação Y,,Вращение Y,,,,,Rotation Y,Y-rotatie,,,Y回転,Y轴旋转,Y 軸旋轉,Y 회전,,Y tengely,,,,סיבוב Y,,,,
TITLE_ROTATION_Z,,Rotation Z,Rotation Z,Rotación Z,Rotation Z,Rotazione Z,Rotação Z,,Вращение Z,,,,,Rotation Z,Z-rotatie,,,Z回転,Z轴旋转,Z 軸旋轉,Z 회전,,Z tengely,,,,סיבוב Z,,,,
MENU_OCULUS_MRC,,MRC,Capture en réalité mixte,MRC,MRC,MRC,MRC,,MRC,,,,,MRC,MRC,,,MRC,混合现实捕捉(MRC),混合實境捕捉 (MRC),MRC(혼합현실 캡처),,MRC,,,,MRC,,,,
SETTINGS_OCULUS_MRC,,MRC (Beta),Capture en réalité mixte (bêta),MRC (Beta),MRC (Beta),MRC (Beta),MRC (Beta),,MRC (бета),,,,,MRC (Beta),MRC (Beta),,,MRC（ベータ）,混合现实捕捉(MRC)(测试版),混合實境捕捉 (MRC) (測試版),MRC (베타),,MRC (Béta),,,,MRC (בטא),,,,
SETTINGS_OCULUS_MRC_INFO,,"Mixed Reality Capture uses an external camera, such as a webcam, to capture real-world images, against a green-screen, and combine them with a scene generated by a mixed reality supported VR app to create a single blended scene. 

For more information search for Mixed Reality Capture Setup Guide in Oculus Documentation.","La capture en réalité mixte utilise une caméra externe, telle qu'une webcam, pour capturer des images du monde réel sur fond vert et combine ces images avec la scène générée par une application en réalité virtuelle qui prend en charge la réalité mixte pour créer une scène unique mélangée.

Pour plus d'information, cherchez « Getting Started With Mixed Reality Capture » (en anglais seulement) dans la documentation Oculus.","La Captura de Realidad Mixta usa una cámara externa, como una cámara web, para capturar imágenes del mundo real, contra una pantalla verde, y las combina con una escena generada por una aplicación de RV de realidad mixta para crear una sola escena combinada. 

Para más información, busca la Guía de Configuración de Captura de Realidad Mixta en la Documentación de Oculus.","Mixed Reality Capture verwendet eine externe Kamera, z.B. eine Webcam, um reale Bilder vor einem Greenscreen aufzunehmen und mit einer Szene zu kombinieren, die von einer von Mixed Reality unterstützten VR-App generiert wurde, um eine einzelne gemischte Szene zu erstellen.

Weitere Informationen findest du in der Oculus-Dokumentation unter Erste Schritte mit Mixed Reality Capture.","Mixed Reality Capture utilizza una telecamera esterna, come una webcam, per catturare immagini del mondo reale, contro uno schermo verde, e combinarli con una scena generata da mixed reality app VR per creare una singola scena mista. 

Per ulteriori informazioni cerca per Getting Started With Mixed Reality Capture nella documentazione di Oculus.","Captura de Realidade Mista usa uma câmera externa, como uma webcam, para capturar imagens do mundo real, em uma tela verde, para então combiná-los em uma cena gerada por um aplicativo de RV mista suportado, para então criar uma única cena mesclada.

Para obter mais informações, pesquise por Introdução à Captura de Realidade Mixed na Documentação do Oculus.",,"Mixed Reality Capture использует дополнительную камеру, например веб-камеру, для захвата реальных изображений, на зеленом экране, и комбинирует их со сценой созданной смешанной реальностью поддерживаемым VR приложением, чтобы создать одну смешанную сцену. 

Для получения более подробной информации о том, как начать работу с Mixed Reality Capture в документации Oculus.",,,,,"Mixed Reality Capture använder en extern kamera, som en webbkamera, för att fånga verkliga bilder, mot en green-screen, och kombinera dem med en scen som genereras av en VR-app som för att skapa en ända blandad scen. 

För mer information sök efter Komma igång med Mixed Reality Capture in Oculus Documentation.","Gemengd Reality Capture maakt gebruik van een externe camera, zoals een webcam, om beelden uit de echte wereld te maken, op een groen scherm, en combineer ze met een scène die is gegenereerd door een gemengde realiteit die de VR-app ondersteunt om één enkele gemengde scène te maken. 

Voor meer informatie zoeken naar een Gemengd Reality Capture Guide in Oculus Documentatie.",,,"ミックスドリアリティキャプチャはウェブカメラなどの外付けカメラを使用して、グリーンバック上で現実の画像をキャプチャして、ミックスドリアリティに対応するVRアプリで生成されたシーンと組み合わせることで、融合したシーンを作成します。

詳細は、Oculusドキュメントのミックスドリアリティキャプチャのセットアップガイドをご覧ください。","混合现实捕获使用外部摄像头（例如webcam）在绿幕背景中拍摄真实世界的图像，并将它们与混合现实支持的VR应用程序生成的场景结合起来以创建单个混合场景。

有关更多信息，请在Oculus文档中搜索《Getting Started With Mixed Reality Capture》。","混合實境捕捉使用外部鏡頭（例如webcam）在綠幕背景中拍攝真實世界的影像，並將它們與支援混合實境的 VR 應用程式產生的場景結合起來以創建單個混合場景。

有關更多信息，請在Oculus文檔中搜尋《Getting Started With Mixed Reality Capture》。","혼합 현실 캡처는 웹캠 등의 외부 카메라를 사용하여 그린 스크린을 배경으로 실제 이미지를 캡처한 후, 혼합 현실을 지원하는 VR 앱으로 생성한 장면과 섞어 하나의 혼합 장면을 만듭니다. 

자세한 정보는 Oculus Documentation의 혼합 현실 캡처 설정 가이드(Mixed Reality Capture Setup Guide)를 검색해주십시오.",,"A Mixed Reality Capture egy külső kamera, például webkamera segítségével, valós képeket rögzít zöld képernyővel és ezeket kombinálva egy vegyes valóságot támogató VR alkalmazás által létrehozott jelenettel egyetlen vegyes jelenetett hoz létre.

További információkért keresse meg az Első Lépések A Vegyes Valóság Rögzítésével című szakaszt az Oculus Dokumentációjában.",,,,"הקלטה של מציאות משולבת היא באמצעות מצלמה חיצונית, למשל כמו צלמת מחשב, כדי להקליט את העולם האמתי, מול מסך ירוק ושילוב עם הקלטה של המשחק על ידי תוכנה מציאות מדומה התומכת בקלטת מציאות משולבת שמשלבת אותם לתמונה אחת. 

לעוד מידה תחפשו תחילים עם הקלטת מציאות משולבת עם אוקולוס《Getting Started With Mixed Reality Capture Documentation》.",,,,
SETTINGS_OCULUS_MRC_WARNING,,"Mixed Reality Capture is in development and can cause bad performance. We are continuing to improve the experience, and the set up flow may change.",La capture en réalité mixte est en développement et peut affecter négativement la performance du jeu. Nous continuons à améliorer l'expérience et la configuration est sujette à modification.,"La Captura de Realidad Mixta está en desarrollo y puede causar un mal rendimiento. Continuamente estamos trabajando para mejorar la experiencia, y el proceso de configuración puede cambiar.","Mixed Reality Capture befindet sich in der Entwicklung und kann zu einer schlechten Performance führen. Wir arbeiten daran, die Erfahrung zu verbessern, und der Einrichtungsablauf kann sich ändern.",Mixed Reality Capture è in fase di sviluppo e può causare cattive prestazioni. Stiamo continuando a migliorare l'esperienza e le impostazioni potrebbero cambiare.,"Captura de Realidade Mista está em desenvolvimento e pode causar mau desempenho. Nós continuamos a melhorar a experiência, e o fluxo de configuração pode mudar.",,"Mixed Reality Capture находится в разработке и может привести к плохой производительности. Мы продолжаем улучшать опыт, и настройка потока может измениться.",,,,,Mixed Reality Capture är under utveckling och kan orsaka dålig prestanda. Vi fortsätter att förbättra erfarenheten och det inställda flödet kan förändras.,Mixed Reality Capture is volop in ontwikkeling en kan mogelijks tot slechte prestaties leiden. We blijven eraan werken om de gebruikerservaring te verbeteren en de manier om het op te zetten kan mogelijks wijzigen.,,,ミックスドリアリティキャプチャは開発中であり、パフォーマンス低下の原因となることがあります。改善、向上を継続していますので、セットアップの流れが変更されることがあります。,混合现实捕获正在开发中，可能会导致性能下降。 我们将继续改善体验，并且设置流程可能会更改变。,混合實境捕捉還在開發中，可能會導致性能下降。我們將繼續改善體驗，並且設定流程可能會更改變。,혼합 현실 캡처는 개발 단계에 있기 때문에 성능에 부정적인 영향을 끼칠 수 있습니다. 현재 지속해서 사용자 경험을 개선하고 있기 때문에 설정 과정이 변할 수 있습니다.,,"A vegyes valóság-rögzítés fejlesztés alatt áll, és rossz teljesítményt okozhat. Folyamatosan javítjuk a tapasztalatokat, és a beállított folyamat változhat.",,,,הקלטת מציאות משולבת היא עדיין בפיתוח ויכולה לגרום למשחק לרוץ בצורה פחות טובה. אנחנו ממשיכים לעבוד על זה ודרך הסידור כנראה תשתנה.,,,,
PLAYER_SETTINGS_SABER_TRAIL_INTENSITY,,Trail Intensity,Intensité des traînées,Intensidad de Rastreo,Spurstreifen-Intensität,Intensità Della Scia,Intensidade dos Rastros,,Интенсивность следа,,,,,Spår Intensitet,Spoor Intensiteit,,,軌跡の彩度,光剑尾迹强度,光劍軌跡強度,검기 강도,,Nyomvonal erőssége,,,,בהירות השובל,,,,
PLAYING_CAMPAIGN_PRESENCE,,Playing Campaign,Joue à la campagne,Jugando Campaña,Spielt die Kampagne,Gioca Campagna,Jogar Campanha,,Играет в Кампанию,,,,,Spela kampanj,Speelt de Campaign,,,キャンペーンプレイ中,正在玩闯关模式,正在闖關中,캠페인 플레이 중,,Kampányban,,,,משחקים את הקמפיין,,,,
PLAYING_TUTORIAL_PRESENCE,,Playing Tutorial,Joue au didacticiel,Jugando Tutorial,Spielt die Einführung,Gioca Tutorial,Jogar Tutorial,,Проходит обучение,,,,,Spela tutorial,Speelt de Tutorial,,,チュートリアルプレイ中,正在进行新手教程,正在接收新知識,튜토리얼 플레이 중,,Bemutatóban,,,,משחקים את ההדרכה,,,,
BROWSING_MENUS_PRESENCE,,Browsing Menus,Navigue les menus,Explorando Menúes,Durchsucht das Menü,Menù Di Navigazione,Navegação de Menus,,Просматривает меню,,,,,Sök Menyer,Zit in het Menu,,,メニュー閲覧中,正在浏览菜单,正在瀏覽選單,메뉴 둘러보는 중,,Menüben,,,,מסתכלים בתפריט,,,,
LEADERBOARDS_CURRENT_MODIFIERS_ONLY_TITLE,,Top (only with current modifiers),Classement (seulement avec les modificateurs sélectionnés),Mejores (solamente con modificadores actuales),Spitzenplätze (nur mit aktuellen Modifikatoren),Top (solo con i modificatori attuali),Top (apenas com modificadores atuais),,Топ (только с текущими модификаторами),,,,,Topp (endast med nuvarande modifierare),Top (alleen met de huidige modifiers),,,トップ（現在のルール変更ありで）,排行(使用当前修改项),排行榜(只用目前的修改器),상위권(현 모디파이어 기준),,Toplista (az aktív módosítókkal),,,,הכי טובים (עם שינויים שאתם בחרתם),,,,
LABEL_SERVER_NAME,,Server Name,Nom du serveur,Nombre del servidor,Servername,Nome Server,Nome do Servidor,,Имя сервера,,,,,Server namn,Servernaam,,,サーバー名,服务器名称,伺服器名稱,서버 이름,,Szervernév,,,,שם השרת,,,,
LABEL_PLAYER_COUNT,,Players,Joueurs,Jugadores,Spieler,Giocatori,Jogadores,,Игроки,,,,,Spelare,Spelers,,,プレイヤー,玩家,玩家,플레이어,,Játékosok,,,,שחקנים,,,,
BUTTON_SERVER_FILTER,,Filter,Filtrer,Filtro,Filter,Filtro,Filtro,,Фильтр,,,,,Filter,Filter,,,フィルター,筛选,篩選,필터,,Szűrő,,,,סינון,,,,
BUTTON_CREATE_SERVER,,Create,Créer,Crear,Erstellen,Crea,Criar,,Создать,,,,,Skapa,Aanmaken,,,作成,创建,創建,생성,,Létrehozás,,,,יצירה,,,,
BUTTON_INTERNET_SERVER_ORIGIN,,Internet,Internet,Internet,Internet,Internet,Internet,,Интернет,,,,,Internet,Internet,,,インターネット,网络,網路,인터넷,,Internetes,,,,אינטרנט,,,,
BUTTON_LOCAL_SERVER_ORIGIN,,Local,Local,Local,Lokal,Locale,Local,,Локально,,,,,Lokal,Lokaal,,,ローカル,本地,本地,로컬,,Helyi,,,,מקומי,,,,
LABEL_SERVER,,Server,Serveur,Servidor,Server,Server,Servidor,,Сервер,,,,,Server,Server,,,サーバー,服务器,伺服器,서버,,Szerver,,,,שרת,,,,
LABEL_PASSWORD_PROTECTED,,Password Protected,Protégé par un mot de passe,Protegido con contraseña,Passwortgeschützt,Protetto da password,Protegido por Senha,,Защищено паролем,,,,,Skyddat med lösenord,Beveiligd met wachtwoord,,,パスワード保護,密码保护,代碼保護,비밀번호 보호됨,,Jelszóval védett,,,,מוגן באמצעות סיסמה,,,,
LABEL_PASSWORD,,Password,Mot de passe,Contraseña,Passwort,Password,Senha,,Пароль,,,,,Lösenord,Wachtwoord,,,パスワード,密码,代碼,비밀번호,,Jelszó,,,,סיסמה,,,,
LABEL_MAX_NUMBER_OF_PLAYERS,,Max Number of Players,Nombre maximal de joueurs,Número máximo de jugadores,Max. Spieleranzahl,Numero Massimo di Giocatori,Número Máximo de Jogadores,,Максимум игроков,,,,,Max antal spelare,Maximum aantal spelers,,,最大プレイヤー数,最大玩家数,最大玩家數,최대 플레이어 수,,Max. játékosok száma,,,,מספר המקסימלי של שחקנים,,,,
LABEL_ALLOWED_DIFFICULTY,,Allowed Difficulty,Difficulté autorisée,Dificultad permitida,Erlaubter Schwierigkeitsgrad,Difficoltà Consentita,Dificuldade Permitida,,Разрешенные сложности,,,,,Tillåten svårighetsgrad,Toegestane moeilijkheidsgraad,,,許可する難易度,允许难度,允許的難度,허용된 난이도,,Engedélyezett nehézség,,,,רמות קושי מורשות,,,,
LABEL_ALLOWED_MUSIC_PACKS,,Allowed Music Packs,Packs de musique autorisés,Paquetes musicales permitidos,Erlaubte Musikpakete,Music Packs Consentiti,Pacotes de Música Permitidos,,Разрешенные музыкальные наборы,,,,,Tillåtna musik packs,Toegestane muziekpakketten,,,許可する音楽パック,允许曲包,允許的曲包,허용된 뮤직 팩,,Engedélyezett zenecsomagok,,,,חבילות מוזיקה מורשות,,,,
LABEL_DISCOVERABLE_ON_INTERNET,,Discoverable on Internet,Découvrable sur Internet,Descubierto en internet,Im Internet auffindbar,Scopribile su Internet,Detectável na Internet,,Доступно в Интернете,,,,,Upptäckbar på Internet,Vindbaar op het Internet,,,インターネットに公開,房间可公开查找,房間可公開查詢,인터넷 발견품,,Mások által felfedezhető,,,,אפשרי למציאה דרך האינטרנט,,,,
BUTTON_MULTIPLAYER,,Online,En ligne,En línea,Online,Online,Online,,Онлайн,,,,,Online,Online,,,オンライン,联机模式,線上模式,온라인,,Online,,,,מקוון,,,,
AVATAR_CLOTHES,,Clothes,Vêtements,Atuendos,Kleidung,Abiti,Roupas,,Одежда,,,,,Kläder,Kledij,,,服装,衣服,衣服,의상,,Öltözék,,,,בגדים,,,,
ALL_LEVEL_PACKS,,All,Tous,Todos,Alle,Tutto,Tudo,,Все,,,,,Alla,Alle,Wszystkie,,すべて,全部,全部,전체,,Összes,Toate,,,הכל,,,,
BUILT_IN_LEVEL_PACKS,,Built-in,Intégrés,Integrado,Integriert,Preinstallato,Embutido,,Встроенный,,,,,Inbyggd,Ingebouwd,,,組込み,内置,內建,기본,,Alapjáték,,,,מובנה,,,,
BEATMAP_DIFFICULTY_ALL,,All,Toutes,Todo,Alle,Tutto,Tudo,,Все,,,,,Alla,Alle,Wszystkie,,すべて,全部,全部,전체,,Összes,Toate,,,הכל,,,,
BUTTON_EDIT_AVATAR,,Avatar,Avatar,Avatar,Avatar,Avatar,Avatar,,Аватар,,,,,Avatar,Avatar,,,アバター,角色造型,角色造型,아바타,,Avatár,,,,דמות,,,,
LOBBY_START_GAME,,Start,Démarrer,Comenzar,Start,Avvia,Começar,,Старт,,,,,Starta,Start,,,Start,开始,開始,시작,,Start,,,,התחל,,,,
LOBBY_SPECTATOR,,Spectator,Spectateur,Espectador,Zuschauen,Spettatore,Espectador,,Режим зрителя,,,,,Åskådare,Toeschouwer,,,観客,观看者,旁觀者,관전,,Néző,,,,צופים,,,,
LOBBY_READY,,Ready,Prêt,Listo,Bereit,Pronto,Pronto,,Готово,,,,,Redo,Klaar,,,Ready,准备,準備,준비,,Kész,,,,מוכן/ה,,,,
LOBBY_SELECT_LEVEL,,Select Level,Choisir un niveau,Seleccionar nivel,Level auswählen,Seleziona livello,Selecionar Nível,,Выбор уровня,,,,,Välja nivå,Selecteer level,,,ステージを選択,选择歌曲,選擇關卡,레벨 선택,,Pálya kiválasztása,,,,בחרו שלב,,,,
LOBBY_SET_MODIFIERS,,Set Modifiers,Définir les modificateurs,Establecer modificadores,Modifikatoren auswählen,Imposta Modificatori,Definir Modificadores,,Выбор модификаторов,,,,,Ange modifierare,Stel Modifiers in,,,ルール変更を設定,选择修改项,選擇修改器,모디파이어 설정,,Módosítók beállítása,,,,הגדירו שינויים,,,,
LABEL_FILTER_BY_DIFFICULTY,,Filter By Difficulty,Filtrer par difficulté,Filtrar por dificultad,Nach Schwierigkeitsgrad filtern,Ordina per difficoltà,Filtrar por Dificuldade,,Фильтр по сложности,,,,,Filtrera efter svårighetsgrad,Filteren op moeilijkheidsgraad,,,難易度でフィルター,按难度筛选,按難度篩選,난이도로 필터링,,Szűrés nehézség szerint,,,,סנן לפי רמת קושי,,,,
LABEL_DIFFICULTY,,Difficulty,Difficulté,Dificultad,Schwierigkeitsgrad,Difficoltà,Dificuldade,,Сложность,,,,,Svårighetsgrad,Moeilijkheidsgraad,Poziom trudności,,難易度,难度,難度,난이도,,Nehézség,Dificultate,,,רמת קושי,,,,
LABEL_FILTER_BY_MUSIC_PACKS,,Filter By Music Packs,Filtrer par pack de musique,Filtrar por paquetes musicales,Nach Musikpaketen filtern,Filtra Per Music Packs,Filtrar por Pacotes de Música,,Фильтр по наборам музыки,,,,,Filtrera efter musik pack,Filteren op muziekpakketten,,,音楽パックでフィルター,按曲包筛选,按歌曲包篩選,뮤직 팩으로 필터링,,Szűrés zenecsomag szerint,,,,סנן לפי חבילות מוזיקה,,,,
LABEL_MUSIC_PACKS,,Music Packs,Packs de musique,Paquetes musicales,Musikpakete,Music Packs,Pacotes de Música,,Наборы музыки,,,,,Musik packs,Muziekpakketten,,,音楽パック,曲包,曲包,뮤직 팩,,Zenecsomagok,Pachete de muzică,,,חבילות מוזיקה,,,,
LABEL_FILTER_SHOW_FULL,,Show Full,Afficher tout,Mostrar completos,Vollständig anzeigen,Mostra tutto,Mostrar Tudo,,Показать полные,,,,,Visa alla,Toon volle,,,全て表示,显示全部,顯示全部,전체 보기,,Teli szerverek,,,,הצג הכל,,,,
LABEL_FILTER_SHOW_PROTECTED,,Show Protected,Voir le contenu protégé,Mostrar protegidos,Geschützte anzeigen,Mostra Protetti,Mostrar Protegido,,Показать защищенные,,,,,Visa lösenordskyddade,Toon Beveiligde,,,保護コンテンツを表示,显示未解锁,顯示尚未解鎖,보호 콘텐츠 보기,,Védett szerverek,,,,הצג עם סיסמה,,,,
LABEL_CONNECTION_ERROR,,Connection Error,Erreur de connexion,Error de conexión,Verbindungsfehler,Errore di Connessione,Erro de conexão,,Ошибка соединения,,,,,Anslutningsfel,Verbindingsfout,,,接続エラー,连接出错,連線錯誤,연결 오류,,Kapcsolati hiba,,,,שגיאה בחיבור,,,,
CONNECTION_FAILED_SERVER_DOES_NOT_EXIST,,Could not connect to the server.<br>Server does not exist,Impossible de se connecter au serveur.<br>Le serveur n'existe pas,No se pudo conectar al servidor.<br>El servidor no existe,Keine Verbindung zum Server.<br>Server existiert nicht.,Impossibile connettersi al server.<br>Il server non esiste,Não foi possível conectar ao servidor.<br>O servidor não existe,,Не удалось подключиться к серверу.<br>Сервер не существует,,,,,Kunde inte ansluta till servern.<br>Servern finns inte,Kan geen verbinding maken met de server.<br>Server bestaat niet,,,サーバーに接続できません。<br>サーバーが存在しません,无法连接至服务器<br>服务器不存在,無法連線至伺服器<br>房間不存在。,서버에 연결할 수 없습니다.<br>서버가 존재하지 않습니다,,Nem sikerült csatlakozni a szerverhez.<br>A szerver nem létezik,,,,לא הצליח להתחבר לשרת.<br>השרת לא קיים,,,,
CONNECTION_FAILED_SERVER_AT_CAPACITY,,Could not connect to the server.<br>Server is full,Impossible de se connecter au serveur.<br>Le serveur est plein,No se pudo conectar al servidor.<br>El servidor está lleno,Keine Verbindung zum Server.<br>Server ist voll.,Impossibile connettersi al server.<br>Il Server è pieno,Não foi possível conectar ao servidor.<br>O servidor está cheio,,Не удалось подключиться к серверу.<br>Сервер полный,,,,,Kunde inte ansluta till servern.<br>Servern är full,Kan geen verbinding maken met de server.<br>Server zit vol,,,サーバーに接続できませんでした。<br>サーバーが混雑しています。,无法连接至服务器<br>服务器已满,無法連線至伺服器<br>房間已滿,서버에 연결할 수 없습니다.<br>서버가 꽉 찼습니다,,Nem sikerült csatlakozni a szerverhez.<br>A szerver betelt,,,,לא הצליח להתחבר לשרת.<br>השרת מלא,,,,
CONNECTION_FAILED_VERSION_MISMATCH,,Could not connect to the server.<br>Update your game and try again,Échec de la connexion au serveur.<br>Mettez le jeu à jour et réessayez,No se pudo conectar al servidor.<br>Actualiza el juego e inténtalo de nuevo,Keine Verbindung zum Server.<br>Aktualisiere dein Spiel und versuche es erneut.,Impossibile connettersi al server. <br>Aggiorna il gioco e riprova,Não foi possível conectar ao servidor.<br>Por favor verifique sua sua conexão e tente novamente,,Не удалось подключиться к серверу.<br>Обновите игру и попробуйте еще раз,,,,,Kunde inte ansluta till servern.<br>Uppdatera ditt spel och försök igen,Kan geen verbinding maken met de server.<br>Update het spel en probeer het opnieuw,,,サーバーに接続できませんでした。<br>ゲームをアップデートした上で再度お試しください。,无法连接至服务器<br>请更新游戏后再次尝试,無法連接至伺服器<br>請更新您的遊戲並重試一次。。,서버에 연결할 수 없습니다.<br>게임을 업데이트하고 다시 시도하세요,,"Nem sikerült csatlakozni a szerverhez.<br>Frissítsd a játékot, majd próbáld újra",,,,לא הצליח להתחבר לשרת.<br>עדכנו את המשחק שלכם ונסו שוב,,,,
CONNECTION_FAILED_INVALID_PASSWORD,,Could not connect to the server.<br>Invalid password,Échec de la connexion au serveur.<br>Mot de passe invalide,No se pudo conectar al servidor.<br>Contraseña no válida,Keine Verbindung zum Server.<br>Ungültiges Passwort.,Password errata,Senha inválida,,Не удается подключиться к серверу.<br>Неверный пароль,,,,,Ogiltigt lösenord,Ongeldig wachtwoord,,,サーバーに接続できません。<br>パスワードが無効です,密码无效,密碼錯誤,서버에 연결할 수 없습니다.<br>잘못된 비밀번호입니다,,Helytelen jelszó,,,,לא הצליח להתחבר לשרת.<br>סיסמה לא נכונה,,,,
CONNECTION_FAILED_NETWORK_NOT_CONNECTED,,Could not connect to the network.<br>Check your internet connection and try again,Échec de la connexion au réseau.<br>Vérifiez votre connexion Internet et réessayez,No se pudo conectar a la red.<br>Revisa tu conexión de internet e inténtalo de nuevo,Keine Verbindung zum Netzwerk.<br>Prüfe deine Internetverbindung und versuche es erneut.,Impossibile connettersi alla rete.<br>Controlla la tua connessione internet e riprova,Não foi possível conectar ao servidor.<br>Por favor verifique sua sua conexão e tente novamente,,Не удалось подключиться к серверу.<br>Проверьте соединение с Интернетом и повторите попытку,,,,,Kunde inte ansluta till nätverket.<br>Kolla din internet anslutning och försök igen,Kan geen verbinding maken met het netwerk.<br>Controleer de internetverbinding en probeer het opnieuw,,,サーバーに接続できませんでした。<br>インターネット接続を確認の上、再度お試しください。,无法连接至服务器<br>请检查您的网络连接后再次尝试,無法連線至伺服器<br>請檢查您的網絡連線，然後再試一次。,네트워크에 연결할 수 없습니다.<br>인터넷 연결을 확인하고 다시 시도하세요,,"Nem sikerült kapcsolódni a hálózatra.<br>Ellenőrizd az internetkapcsolatod, majd próbálkozz újra",,,,לא הצליח להתחבר לשרת.<br>תבדקו את חיבור האינטרנט שלכם ונסו שוב,,,,
LABEL_INVALID_PASSWORD,,Invalid Password,Mot de passe incorrect,Contraseña no válida,Ungültiges Passwort,Password errata,Senha inválida,,Неверный пароль,,,,,Ogiltigt Lösenord,Ongeldig Wachtwoord,,,パスワードが無効です,密码无效,密碼錯誤,잘못된 비밀번호,,Helytelen jelszó,,,,סיסמה לא נכונה,,,,
TEXT_INVALID_PASSWORD,,Your password was incorrect,Votre mot de passe est incorrect,Tu contraseña es incorrecta,Dein Passwort war falsch,La password non è corretta,A senha estava incorreta,,Пароль был неверен,,,,,Ditt lösenord var felaktigt,Het wachtwoord is onjuist,,,パスワードが正しくありません,你输入的密码有误,您輸入的密碼錯誤,비밀번호가 잘못되었습니다,,Az általad megadott jelszó nem érvényes,,,,הסיסמה שלכם לא נכונה,,,,
PLAYER_NAME,,Player Name,Nom du joueur,Jugador,Spielername,Nome giocatore,Nome do Jogador,,Имя игрока,,,,,Spelarnamn,Naam Speler,,,プレイヤー名,玩家名字,玩家名稱,플레이어 이름,,Játékosnév,,,,שם שחקן/ית,,,,
SUGGESTED_BEATMAP,,Suggested Beatmap,Morceau recommandé,Beatmap sugerido,Vorgeschlagene Beatmap,Beatmap Suggerita,Beatmap Sugerido,,Предложенная песня,,,,,Föreslagen Beatmap,Voorgestelde Beatmap,,,提案されたビートマップ,提议歌曲,建議歌曲,추천 비트맵,,Javasolt ütemtábla,,,,מפות שיר מומלצות,,,,
SUGGESTED_MODIFIERS,,Suggested Modifiers,Modificateurs,Mod. sugeridos,Vorgeschlagene Modifikatoren,Modificatori Suggeriti,Modificadores Sugeridos,,Модификаторы,,,,,Föreslagna modifierare,Voorgestelde Modifiers,,,提案されたルール変更,提议修改项,建議修改器,추천 모디파이어,,Javasolt módosítók,,,,שינויים מומלצים,,,,
MUSIC_PACK,,Music Pack,Pack de musique,Paquete musical,Musikpaket,Music Pack,Pacote de Música,,Набор музыки,,,,,Musik pack,Muziek Pakket,,,音楽パック,曲包,曲包,뮤직 팩,,Zenecsomag,,,,חבילת מוזיקה,,,,
DIFFICULTY,,Difficulty,Difficulté,Dificultad,Schwierigkeitsgrad,Difficoltà,Dificuldade,,Сложность,,,,,Svårighetsgrad,Moeilijkheidsgraad,Poziom trudności,,難易度,难度,難度,난이도,,Nehézség,Dificultate,,,רמת קושי,,,,
BUTTON_JOIN_SERVER,,Join,Rejoindre,Unirse,Beitreten,Partecipa,Juntar-se,,Войти,,,,,Gå med,Meedoen,,,参加,加入,加入,참가,,Csatlakozás,,,,הצטרפו,,,,
LEVEL_END_ACTION_QUIT,,Quit,Quitter,Salir,Verlassen,Esci,Sair,,Выйти,,,Luk,,Lämna,Verlaten,Wyjdź,,終了,离开,離開,나가기,,Kilépés,Închide,,,צאו,خروج,,Hætta,
